#RPLIDAR SCAN DATA
#COUNT=496
#Angule	Distance	Quality
217.4524 437.0 188
218.1665 441.0 188
218.6224 445.0 188
219.3420 450.0 188
220.1825 450.0 188
221.8744 437.0 188
222.5885 429.0 188
223.0444 422.0 188
223.8904 415.0 188
224.7308 407.0 188
225.3241 402.0 188
226.4172 396.0 188
227.1204 391.0 188
227.7136 385.0 188
228.4332 381.0 188
229.6527 375.0 188
230.3723 371.0 188
231.2018 366.0 188
231.4215 362.0 188
232.3883 358.0 188
233.2343 355.0 188
233.8275 351.0 188
235.0415 347.0 188
235.2448 344.0 188
236.5906 340.0 188
237.1838 337.0 188
237.6562 334.0 188
238.6230 330.0 188
239.3262 328.0 188
240.1666 325.0 188
240.5127 322.0 188
241.9794 319.0 188
242.5781 317.0 188
242.9022 315.0 188
243.4955 312.0 188
244.9677 310.0 188
245.6873 308.0 188
246.0278 306.0 188
247.1210 303.0 188
247.4506 302.0 188
248.1702 300.0 188
249.6368 298.0 188
249.8566 297.0 188
250.9497 295.0 188
251.7957 293.0 188
252.5153 293.0 188
252.8558 291.0 188
253.1854 290.0 188
254.1522 289.0 188
255.1245 288.0 188
256.0913 286.0 188
256.1847 286.0 188
256.9043 285.0 188
258.6237 283.0 188
258.9642 283.0 188
259.4202 282.0 188
260.2606 281.0 188
260.6067 280.0 188
261.6998 280.0 188
262.5458 279.0 188
263.3862 278.0 188
264.4794 278.0 188
264.4519 278.0 188
264.9023 278.0 188
265.6219 277.0 188
266.4679 277.0 188
268.1873 277.0 188
268.2806 277.0 188
269.3738 277.0 188
269.2145 277.0 188
270.4340 276.0 188
271.3898 277.0 188
271.4832 277.0 188
273.0762 277.0 188
273.0432 277.0 188
273.7628 278.0 188
274.1089 278.0 188
275.7019 278.0 188
276.1688 279.0 188
276.6248 280.0 188
277.5916 280.0 188
278.3112 280.0 188
278.5309 281.0 188
279.6240 288.0 188
283.4363 234.0 188
280.6512 340.0 188
281.6071 321.0 188
282.9529 307.0 188
284.2932 286.0 188
284.3866 294.0 188
285.2325 292.0 188
286.3257 293.0 188
286.5454 294.0 188
286.8860 295.0 188
